text,label
"ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ ಸುಳ್ಳು ಮಾಹಿತಿಯ ಹರಡುವಿಕೆಯನ್ನು ತಡೆಯುವ ಸಲುವಾಗಿ ಮಂಡಿಸಲಾದ ಕರ್ನಾಟಕ ತಪ್ಪು ಮಾಹಿತಿ ಮತ್ತು ನಕಲಿ ಸುದ್ದಿ (ನಿಷೇಧ) ಮಸೂದೆ, 20255, ಸೂಕ್ಷ್ಮವಾಗಿ ಪರಿಶೀಲಿಸಿದಾಗ ಆಳವಾಗಿ ತೊಂದರೆಗೊಳಿಸುವ ವಾಸ್ತುಶಿಲ್ಪವನ್ನು ಬಹಿರಂಗಪಡಿಸುತ್ತದೆ.",0
"ಈ ವಿಡಿಯೋದಲ್ಲಿ ತೋರಿಸಿರುವ ಘಟನೆ ನಕಲಿ; 2010ರ ಚಿತ್ರವನ್ನು 2025ರ ಘಟನೆ ಎಂದು ಸುಳ್ಳಾಗಿ ಹಂಚಲಾಗಿದೆ.",0
"ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಿದಿರುವ ಈ ಪೋಸ್ಟ್ ತಪ್ಪು ಮಾಹಿತಿ; ಸರ್ಕಾರ ಇಂತಹ ಯಾವುದೇ ಆದೇಶ ಹೊರಡಿಸಿಲ್ಲ.",0
"ಈ ಸುದ್ದಿ ಸತ್ಯವಲ್ಲ; ಹಳೆಯ ಫೋಟೋವನ್ನು ಹೊಸ ಘಟನೆಯಂತೆ ಬಳಸಿ ತಪ್ಪು ದಾರಿಗೆಳೆದುಕೊಳ್ಳಲಾಗಿದೆ.",0
"ನೀತಿಯ ಹೆಸರಿನಲ್ಲಿ ಹಂಚಿದ ದಸ್ತಾವೇಜು ನಕಲಿ; ಅಧಿಕೃತ ತಾಣದಲ್ಲಿ ಯಾವುದೇ ದಾಖಲೆ ಲಭ್ಯವಿಲ್ಲ.",0
"ವೈರಲ್ ಆಗಿರುವ ವೀಡಿಯೋದಲ್ಲಿ ಧ್ವನಿ ಕ್ಲಿಪ್ ಸಂಪಾದಿಸಲಾಗಿದೆ; ಹೇಳಿಕೆಗಳು ಸುಳ್ಳು.",0
"ಈ ಚಿತ್ರ AI ಮೂಲಕ ಸೃಷ್ಟಿಸಲ್ಪಟ್ಟಿದ್ದು ನಿಜಸ್ಥಿತಿ ಅಲ್ಲ; ಇದನ್ನು ಆಧರಿಸಿ ಮಾಡಿದ ಆರೋಪಗಳು ಸುಳ್ಳು.",0
"20277ರಲ್ಲಿ ನಡೆದಂತೆ ಹೇಳಲಾಗಿರುವ ಘಟನೆ ಅಸತ್ಯ; ದಿನಾಂಕವನ್ನು ತಪ್ಪಾಗಿ ಕೊಟ್ಟಿದ್ದಾರೆ.",0
"ಈ ಸುದ್ದಿ ಶೀರ್ಷಿಕೆ ತಪ್ಪಾಗಿದೆ; ಒಳಗಿನ ವಿಷಯ ಮತ್ತು ಮೂಲಗಳು ಪರಸ್ಪರ ಹೊಂದಿಬರುವುದಿಲ್ಲ.",0
"ವೈದ್ಯಕೀಯ ಅಧ್ಯಯನದ ಫಲಿತಾಂಶವನ್ನು ತಪ್ಪಾಗಿ ಉಲ್ಲೇಖಿಸಿ ತಪ್ಪು ಮಾಹಿತಿ ಹರಡಲಾಗಿದೆ.",0
"ರಾಜ್ಯ ಸರ್ಕಾರ ಈ ವಿಷಯದಲ್ಲಿ ಯಾವುದೇ ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿಲ್ಲ; ವೈರಲ್ ಪೋಸ್ಟ್ ನಕಲಿ.",0
"ಈ ಕಾನೂನು ಮಸೂದೆ ಕುರಿತು ಹರಿದಿರುವ ಪ್ರತಿಗಳು ನಕಲಿ; ಅಧಿಕೃತ ಗ್ಯಾಜೆಟ್‌ನಲ್ಲಿ ಇಲ್ಲ.",0
"ಈ ಪೋಸ್ಟ್‌ನಲ್ಲಿ ಬಳಕೆಮಾಡಿದ ಚಿತ್ರ 2009ರದ್ದು; 2025ರ ಘಟನೆಗೆ ಸಂಬಂಧಿಸಿಲ್ಲ.",0
"ಹೊಸ ಕರೆನ್ಸಿ ನೋಟಿನ ಬಗ್ಗೆ ಹರಿದಿರುವ ಈ ಸುದ್ದಿ ಸುಳ್ಳು; ರಿಸರ್ವ್ ಬ್ಯಾಂಕ್ ಪ್ರಕಟಣೆ ಇಲ್ಲ.",0
"ಮಳೆಯ ಬಗ್ಗೆ ನೀಡಿದ ಎಚ್ಚರಿಕೆ ನಕಲಿ; ಹವಾಮಾನ ಇಲಾಖೆಯ ಅಧಿಕೃತ ಸೂಚನೆ ಅಲ್ಲ.",0
"ವಿಷಯ ಪರಿಶೀಲನೆಯಲ್ಲಿ ಈ ಆರೋಪಗಳನ್ನು ಸಮರ್ಥಿಸುವ ಯಾವುದೇ ದಾಖಲೆ ಸಿಕ್ಕಿಲ್ಲ; ಸುದ್ದಿ ಸುಳ್ಳು.",0
"ಕ್ರೀಡಾಪಟುವಿನ ಗಾಯದ ಬಗ್ಗೆ ಹರಿದಿರುವ ಸುದ್ದಿ ತಪ್ಪು; ತಂಡ ಅಧಿಕೃತವಾಗಿ ಖಂಡಿಸಿದೆ.",0
"ಈ ವಿಡಿಯೋ ಬೇರೆ ದೇಶದದ್ದು; ಕನ್ನಡದಲ್ಲಿ ತಪ್ಪು ಶೀರ್ಷಿಕೆ ಹಾಕಿ ಹಂಚಲಾಗಿದೆ.",0
"ಹಳೆಯ ವಿಪತ್ತು ಫೋಟೋವನ್ನು ಇಂದಿನ ಸುದ್ದಿಯೊಂದಿಗೆ ಜೋಡಿಸಿ ನಕಲಿ ಭೀತಿ ಸೃಷ್ಟಿಸಲಾಗಿದೆ.",0
